
|| IdLog || StatusLog ||    UserAdmin   ||        Tarea        ||     IpOrigen     ||     MACOrigen     ||   AdminObj   ||      FechaInit      ||      FechaFin      ||
|| 57   || Completado || admin1 || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || admin1 ||  2022-03-21 14:31:30 ||  2022-03-21 14:31:30  ||
|| 58   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 14:37:08 ||  2022-03-21 14:37:08  ||
|| 59   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 14:41:25 ||  2022-03-21 14:41:25  ||
|| 60   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 14:42:28 ||  2022-03-21 14:42:28  ||
|| 61   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 14:48:18 ||  2022-03-21 14:48:18  ||
|| 62   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 14:51:38 ||  2022-03-21 14:51:38  ||
|| 63   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 14:52:45 ||  2022-03-21 14:52:45  ||
|| 64   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 14:56:27 ||  2022-03-21 14:56:27  ||
|| 65   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 14:57:16 ||  2022-03-21 14:57:16  ||
|| 66   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 15:09:59 ||  2022-03-21 15:09:59  ||
